Border,Date,Measure,Value,Average
US-Mexico Border,06/01/2000 12:00:00 AM,Rail Containers Full,23961,53323
US-Mexico Border,06/01/2000 12:00:00 AM,Buses,23322,15160
US-Canada Border,06/01/2000 12:00:00 AM,Buses,20314,15160
US-Canada Border,06/01/2000 12:00:00 AM,Trains,2757,1425
US-Mexico Border,06/01/2000 12:00:00 AM,Train Passengers,2436,7870
US-Mexico Border,06/01/2000 12:00:00 AM,Trains,777,1425
US-Mexico Border,05/01/2019 12:00:00 AM,Personal Vehicle Passengers,11161555,9133657
US-Mexico Border,05/01/2019 12:00:00 AM,Personal Vehicles,6087007,4518629
US-Canada Border,05/01/2019 12:00:00 AM,Personal Vehicle Passengers,4209007,9133657
US-Mexico Border,05/01/2019 12:00:00 AM,Pedestrians,4144485,1883405
US-Canada Border,05/01/2019 12:00:00 AM,Personal Vehicles,2301064,4518629
US-Mexico Border,05/01/2019 12:00:00 AM,Trucks,576724,461656
US-Canada Border,05/01/2019 12:00:00 AM,Trucks,507425,461656
US-Mexico Border,05/01/2019 12:00:00 AM,Truck Containers Full,435491,337463
US-Canada Border,05/01/2019 12:00:00 AM,Truck Containers Full,385497,337463
US-Canada Border,05/01/2019 12:00:00 AM,Bus Passengers,190178,245858
US-Mexico Border,05/01/2019 12:00:00 AM,Bus Passengers,172481,245858
US-Canada Border,05/01/2019 12:00:00 AM,Rail Containers Full,159963,74911
US-Mexico Border,05/01/2019 12:00:00 AM,Truck Containers Empty,147259,119558
US-Canada Border,05/01/2019 12:00:00 AM,Truck Containers Empty,133736,119558
US-Canada Border,05/01/2019 12:00:00 AM,Rail Containers Empty,61553,41809
US-Mexico Border,05/01/2019 12:00:00 AM,Rail Containers Empty,52634,41809
US-Canada Border,05/01/2019 12:00:00 AM,Pedestrians,50586,1883405
US-Mexico Border,05/01/2019 12:00:00 AM,Rail Containers Full,44885,74911
US-Canada Border,05/01/2019 12:00:00 AM,Train Passengers,30038,11154
US-Mexico Border,05/01/2019 12:00:00 AM,Buses,12562,14981
US-Canada Border,05/01/2019 12:00:00 AM,Buses,8174,14981
US-Canada Border,05/01/2019 12:00:00 AM,Trains,2090,1604
US-Mexico Border,05/01/2019 12:00:00 AM,Trains,987,1604
US-Mexico Border,05/01/2019 12:00:00 AM,Train Passengers,958,11154
US-Mexico Border,05/01/2018 12:00:00 AM,Personal Vehicle Passengers,12425460,9194131
US-Mexico Border,05/01/2018 12:00:00 AM,Personal Vehicles,6723434,4533145
US-Canada Border,05/01/2018 12:00:00 AM,Personal Vehicle Passengers,4365709,9194131
US-Mexico Border,05/01/2018 12:00:00 AM,Pedestrians,3850841,1878978
US-Canada Border,05/01/2018 12:00:00 AM,Personal Vehicles,2378868,4533145
US-Mexico Border,05/01/2018 12:00:00 AM,Trucks,561452,459266
US-Canada Border,05/01/2018 12:00:00 AM,Trucks,524191,459266
US-Mexico Border,05/01/2018 12:00:00 AM,Truck Containers Full,408438,335555
US-Canada Border,05/01/2018 12:00:00 AM,Truck Containers Full,393302,335555
US-Canada Border,05/01/2018 12:00:00 AM,Bus Passengers,197790,250684
US-Canada Border,05/01/2018 12:00:00 AM,Rail Containers Full,152582,73675
US-Mexico Border,05/01/2018 12:00:00 AM,Truck Containers Empty,150480,118426
US-Canada Border,05/01/2018 12:00:00 AM,Truck Containers Empty,142900,118426
US-Mexico Border,05/01/2018 12:00:00 AM,Bus Passengers,108419,250684
US-Canada Border,05/01/2018 12:00:00 AM,Rail Containers Empty,70644,41077
US-Mexico Border,05/01/2018 12:00:00 AM,Rail Containers Empty,53567,41077
US-Canada Border,05/01/2018 12:00:00 AM,Pedestrians,44519,1878978
US-Mexico Border,05/01/2018 12:00:00 AM,Rail Containers Full,41851,73675
US-Canada Border,05/01/2018 12:00:00 AM,Train Passengers,26599,11073
US-Mexico Border,05/01/2018 12:00:00 AM,Buses,13097,15250
US-Canada Border,05/01/2018 12:00:00 AM,Buses,8291,15250
US-Canada Border,05/01/2018 12:00:00 AM,Trains,2094,1611
US-Mexico Border,05/01/2018 12:00:00 AM,Trains,948,1611
US-Mexico Border,05/01/2018 12:00:00 AM,Train Passengers,891,11073
US-Mexico Border,05/01/2017 12:00:00 AM,Personal Vehicle Passengers,12088275,9252030
US-Mexico Border,05/01/2017 12:00:00 AM,Personal Vehicles,6586937,4544258
US-Canada Border,05/01/2017 12:00:00 AM,Personal Vehicle Passengers,3907196,9252030
US-Mexico Border,05/01/2017 12:00:00 AM,Pedestrians,3542039,1880431
US-Canada Border,05/01/2017 12:00:00 AM,Personal Vehicles,2216491,4544258
US-Canada Border,05/01/2017 12:00:00 AM,Trucks,527854,456967
US-Mexico Border,05/01/2017 12:00:00 AM,Trucks,526011,456967
US-Canada Border,05/01/2017 12:00:00 AM,Truck Containers Full,497746,333685
US-Mexico Border,05/01/2017 12:00:00 AM,Truck Containers Full,475164,333685
US-Mexico Border,05/01/2017 12:00:00 AM,Truck Containers Empty,206516,116702
US-Canada Border,05/01/2017 12:00:00 AM,Truck Containers Empty,196574,116702
US-Canada Border,05/01/2017 12:00:00 AM,Bus Passengers,194863,256508
US-Canada Border,05/01/2017 12:00:00 AM,Rail Containers Full,145485,72560
US-Mexico Border,05/01/2017 12:00:00 AM,Bus Passengers,134569,256508
US-Canada Border,05/01/2017 12:00:00 AM,Rail Containers Empty,68963,40250
US-Mexico Border,05/01/2017 12:00:00 AM,Rail Containers Empty,47387,40250
US-Mexico Border,05/01/2017 12:00:00 AM,Rail Containers Full,44134,72560
US-Canada Border,05/01/2017 12:00:00 AM,Pedestrians,35628,1880431
US-Canada Border,05/01/2017 12:00:00 AM,Train Passengers,28535,11019
US-Mexico Border,05/01/2017 12:00:00 AM,Buses,13577,15532
US-Canada Border,05/01/2017 12:00:00 AM,Buses,9078,15532
US-Canada Border,05/01/2017 12:00:00 AM,Trains,1947,1623
US-Mexico Border,05/01/2017 12:00:00 AM,Trains,961,1623
US-Mexico Border,05/01/2017 12:00:00 AM,Train Passengers,880,11019
US-Mexico Border,05/01/2016 12:00:00 AM,Personal Vehicle Passengers,11950344,9330760
US-Mexico Border,05/01/2016 12:00:00 AM,Personal Vehicles,6490297,4559078
US-Canada Border,05/01/2016 12:00:00 AM,Personal Vehicle Passengers,4179571,9330760
US-Mexico Border,05/01/2016 12:00:00 AM,Pedestrians,3583968,1886483
US-Canada Border,05/01/2016 12:00:00 AM,Personal Vehicles,2334818,4559078
US-Canada Border,05/01/2016 12:00:00 AM,Trucks,507631,455064
US-Mexico Border,05/01/2016 12:00:00 AM,Trucks,501367,455064
US-Canada Border,05/01/2016 12:00:00 AM,Truck Containers Full,423092,331376
US-Mexico Border,05/01/2016 12:00:00 AM,Truck Containers Full,362521,331376
US-Canada Border,05/01/2016 12:00:00 AM,Bus Passengers,211733,262117
US-Mexico Border,05/01/2016 12:00:00 AM,Bus Passengers,202481,262117
US-Mexico Border,05/01/2016 12:00:00 AM,Truck Containers Empty,137923,115558
US-Canada Border,05/01/2016 12:00:00 AM,Rail Containers Full,129560,71654
US-Canada Border,05/01/2016 12:00:00 AM,Truck Containers Empty,109408,115558
US-Canada Border,05/01/2016 12:00:00 AM,Rail Containers Empty,58135,39722
US-Mexico Border,05/01/2016 12:00:00 AM,Rail Containers Full,45037,71654
US-Canada Border,05/01/2016 12:00:00 AM,Pedestrians,40201,1886483
US-Mexico Border,05/01/2016 12:00:00 AM,Rail Containers Empty,39822,39722
US-Canada Border,05/01/2016 12:00:00 AM,Train Passengers,27583,10931
US-Mexico Border,05/01/2016 12:00:00 AM,Buses,15379,15817
US-Canada Border,05/01/2016 12:00:00 AM,Buses,9478,15817
US-Canada Border,05/01/2016 12:00:00 AM,Trains,2475,1626
US-Mexico Border,05/01/2016 12:00:00 AM,Train Passengers,1063,10931
US-Mexico Border,05/01/2016 12:00:00 AM,Trains,894,1626
US-Mexico Border,05/01/2015 12:00:00 AM,Personal Vehicle Passengers,11791328,9421637
US-Mexico Border,05/01/2015 12:00:00 AM,Personal Vehicles,6275741,4576448
US-Canada Border,05/01/2015 12:00:00 AM,Personal Vehicle Passengers,4612136,9421637
US-Mexico Border,05/01/2015 12:00:00 AM,Pedestrians,3454131,1895553
US-Canada Border,05/01/2015 12:00:00 AM,Personal Vehicles,2547836,4576448
US-Canada Border,05/01/2015 12:00:00 AM,Trucks,483697,453656
US-Mexico Border,05/01/2015 12:00:00 AM,Trucks,468216,453656
US-Canada Border,05/01/2015 12:00:00 AM,Truck Containers Full,396596,329364
US-Mexico Border,05/01/2015 12:00:00 AM,Truck Containers Full,340183,329364
US-Canada Border,05/01/2015 12:00:00 AM,Bus Passengers,220010,266876
US-Mexico Border,05/01/2015 12:00:00 AM,Bus Passengers,202483,266876
US-Canada Border,05/01/2015 12:00:00 AM,Rail Containers Full,138071,70660
US-Mexico Border,05/01/2015 12:00:00 AM,Truck Containers Empty,125751,115340
US-Canada Border,05/01/2015 12:00:00 AM,Truck Containers Empty,115694,115340
US-Canada Border,05/01/2015 12:00:00 AM,Rail Containers Empty,66817,39203
US-Canada Border,05/01/2015 12:00:00 AM,Pedestrians,43208,1895553
US-Mexico Border,05/01/2015 12:00:00 AM,Rail Containers Full,42552,70660
US-Mexico Border,05/01/2015 12:00:00 AM,Rail Containers Empty,39991,39203
US-Canada Border,05/01/2015 12:00:00 AM,Train Passengers,27844,10841
US-Mexico Border,05/01/2015 12:00:00 AM,Buses,16746,16045
US-Canada Border,05/01/2015 12:00:00 AM,Buses,10339,16045
US-Canada Border,05/01/2015 12:00:00 AM,Trains,2658,1622
US-Mexico Border,05/01/2015 12:00:00 AM,Train Passengers,921,10841
US-Mexico Border,05/01/2015 12:00:00 AM,Trains,839,1622
US-Mexico Border,05/01/2014 12:00:00 AM,Personal Vehicle Passengers,10752775,9525563
US-Mexico Border,05/01/2014 12:00:00 AM,Personal Vehicles,5909610,4597380
US-Canada Border,05/01/2014 12:00:00 AM,Personal Vehicle Passengers,5121265,9525563
US-Mexico Border,05/01/2014 12:00:00 AM,Pedestrians,3486494,1908032
US-Canada Border,05/01/2014 12:00:00 AM,Personal Vehicles,2800323,4597380
US-Canada Border,05/01/2014 12:00:00 AM,Trucks,503633,452557
US-Mexico Border,05/01/2014 12:00:00 AM,Trucks,474277,452557
US-Canada Border,05/01/2014 12:00:00 AM,Truck Containers Full,379717,328527
US-Mexico Border,05/01/2014 12:00:00 AM,Truck Containers Full,341856,328527
US-Canada Border,05/01/2014 12:00:00 AM,Bus Passengers,270619,271078
US-Mexico Border,05/01/2014 12:00:00 AM,Bus Passengers,248796,271078
US-Canada Border,05/01/2014 12:00:00 AM,Rail Containers Full,139574,69489
US-Mexico Border,05/01/2014 12:00:00 AM,Truck Containers Empty,128649,114880
US-Canada Border,05/01/2014 12:00:00 AM,Truck Containers Empty,121062,114880
US-Canada Border,05/01/2014 12:00:00 AM,Rail Containers Empty,73214,38360
US-Mexico Border,05/01/2014 12:00:00 AM,Rail Containers Full,43652,69489
US-Canada Border,05/01/2014 12:00:00 AM,Pedestrians,39591,1908032
US-Mexico Border,05/01/2014 12:00:00 AM,Rail Containers Empty,38438,38360
US-Canada Border,05/01/2014 12:00:00 AM,Train Passengers,26823,10740
US-Mexico Border,05/01/2014 12:00:00 AM,Buses,17705,16260
US-Canada Border,05/01/2014 12:00:00 AM,Buses,10919,16260
US-Canada Border,05/01/2014 12:00:00 AM,Trains,2643,1619
US-Mexico Border,05/01/2014 12:00:00 AM,Train Passengers,998,10740
US-Mexico Border,05/01/2014 12:00:00 AM,Trains,858,1619
US-Mexico Border,05/01/2013 12:00:00 AM,Personal Vehicle Passengers,10094092,9656254
US-Mexico Border,05/01/2013 12:00:00 AM,Personal Vehicles,5542514,4628426
US-Canada Border,05/01/2013 12:00:00 AM,Personal Vehicle Passengers,5144359,9656254
US-Mexico Border,05/01/2013 12:00:00 AM,Pedestrians,3336831,1919682
US-Canada Border,05/01/2013 12:00:00 AM,Personal Vehicles,2860420,4628426
US-Canada Border,05/01/2013 12:00:00 AM,Trucks,495376,452321
US-Mexico Border,05/01/2013 12:00:00 AM,Trucks,462653,452321
US-Canada Border,05/01/2013 12:00:00 AM,Truck Containers Full,348887,329121
US-Mexico Border,05/01/2013 12:00:00 AM,Truck Containers Full,329269,329121
US-Canada Border,05/01/2013 12:00:00 AM,Bus Passengers,251514,275577
US-Mexico Border,05/01/2013 12:00:00 AM,Bus Passengers,228245,275577
US-Mexico Border,05/01/2013 12:00:00 AM,Truck Containers Empty,137914,114500
US-Canada Border,05/01/2013 12:00:00 AM,Rail Containers Full,126913,68520
US-Canada Border,05/01/2013 12:00:00 AM,Truck Containers Empty,123881,114500
US-Canada Border,05/01/2013 12:00:00 AM,Rail Containers Empty,65924,37589
US-Canada Border,05/01/2013 12:00:00 AM,Pedestrians,40091,1919682
US-Mexico Border,05/01/2013 12:00:00 AM,Rail Containers Full,37009,68520
US-Mexico Border,05/01/2013 12:00:00 AM,Rail Containers Empty,31148,37589
US-Canada Border,05/01/2013 12:00:00 AM,Train Passengers,27490,10652
US-Mexico Border,05/01/2013 12:00:00 AM,Buses,17577,16484
US-Canada Border,05/01/2013 12:00:00 AM,Buses,10706,16484
US-Canada Border,05/01/2013 12:00:00 AM,Trains,2696,1620
US-Mexico Border,05/01/2013 12:00:00 AM,Trains,805,1620
US-Mexico Border,05/01/2013 12:00:00 AM,Train Passengers,388,10652
US-Mexico Border,05/01/2012 12:00:00 AM,Personal Vehicle Passengers,9456442,9834232
US-Mexico Border,05/01/2012 12:00:00 AM,Personal Vehicles,5267639,4676737
US-Canada Border,05/01/2012 12:00:00 AM,Personal Vehicle Passengers,5048697,9834232
US-Mexico Border,05/01/2012 12:00:00 AM,Pedestrians,3421853,1935509
US-Canada Border,05/01/2012 12:00:00 AM,Personal Vehicles,2779147,4676737
US-Canada Border,05/01/2012 12:00:00 AM,Trucks,505616,452638
US-Mexico Border,05/01/2012 12:00:00 AM,Trucks,460181,452638
US-Canada Border,05/01/2012 12:00:00 AM,Truck Containers Full,376336,330411
US-Mexico Border,05/01/2012 12:00:00 AM,Truck Containers Full,322166,330411
US-Canada Border,05/01/2012 12:00:00 AM,Bus Passengers,256879,279909
US-Mexico Border,05/01/2012 12:00:00 AM,Bus Passengers,222990,279909
US-Mexico Border,05/01/2012 12:00:00 AM,Truck Containers Empty,135225,113687
US-Canada Border,05/01/2012 12:00:00 AM,Rail Containers Full,112210,67735
US-Canada Border,05/01/2012 12:00:00 AM,Truck Containers Empty,112198,113687
US-Canada Border,05/01/2012 12:00:00 AM,Rail Containers Empty,59768,36852
US-Mexico Border,05/01/2012 12:00:00 AM,Rail Containers Empty,40321,36852
US-Canada Border,05/01/2012 12:00:00 AM,Pedestrians,39073,1935509
US-Mexico Border,05/01/2012 12:00:00 AM,Rail Containers Full,33681,67735
US-Canada Border,05/01/2012 12:00:00 AM,Train Passengers,26609,10612
US-Mexico Border,05/01/2012 12:00:00 AM,Buses,17687,16742
US-Canada Border,05/01/2012 12:00:00 AM,Buses,11022,16742
US-Canada Border,05/01/2012 12:00:00 AM,Trains,2274,1625
US-Mexico Border,05/01/2012 12:00:00 AM,Trains,760,1625
US-Mexico Border,05/01/2012 12:00:00 AM,Train Passengers,296,10612
US-Mexico Border,05/01/2011 12:00:00 AM,Personal Vehicle Passengers,9340649,10064218
US-Mexico Border,05/01/2011 12:00:00 AM,Personal Vehicles,5206244,4743677
US-Canada Border,05/01/2011 12:00:00 AM,Personal Vehicle Passengers,4875403,10064218
US-Mexico Border,05/01/2011 12:00:00 AM,Pedestrians,3320617,1956033
US-Canada Border,05/01/2011 12:00:00 AM,Personal Vehicles,2662854,4743677
US-Canada Border,05/01/2011 12:00:00 AM,Trucks,481860,453984
US-Mexico Border,05/01/2011 12:00:00 AM,Trucks,427866,453984
US-Canada Border,05/01/2011 12:00:00 AM,Truck Containers Full,355369,332253
US-Mexico Border,05/01/2011 12:00:00 AM,Truck Containers Full,292236,332253
US-Canada Border,05/01/2011 12:00:00 AM,Bus Passengers,256246,285393
US-Mexico Border,05/01/2011 12:00:00 AM,Bus Passengers,214348,285393
US-Mexico Border,05/01/2011 12:00:00 AM,Truck Containers Empty,127038,113702
US-Canada Border,05/01/2011 12:00:00 AM,Rail Containers Full,107994,67415
US-Canada Border,05/01/2011 12:00:00 AM,Truck Containers Empty,98289,113702
US-Canada Border,05/01/2011 12:00:00 AM,Rail Containers Empty,55148,36044
US-Mexico Border,05/01/2011 12:00:00 AM,Rail Containers Empty,36185,36044
US-Mexico Border,05/01/2011 12:00:00 AM,Rail Containers Full,31788,67415
US-Canada Border,05/01/2011 12:00:00 AM,Pedestrians,29349,1956033
US-Canada Border,05/01/2011 12:00:00 AM,Train Passengers,26800,10508
US-Mexico Border,05/01/2011 12:00:00 AM,Buses,18228,17036
US-Canada Border,05/01/2011 12:00:00 AM,Buses,11562,17036
US-Canada Border,05/01/2011 12:00:00 AM,Trains,2240,1634
US-Mexico Border,05/01/2011 12:00:00 AM,Trains,708,1634
US-Mexico Border,05/01/2011 12:00:00 AM,Train Passengers,317,10508
US-Mexico Border,05/01/2010 12:00:00 AM,Personal Vehicle Passengers,10887765,10323318
US-Mexico Border,05/01/2010 12:00:00 AM,Personal Vehicles,5493655,4829956
US-Canada Border,05/01/2010 12:00:00 AM,Personal Vehicle Passengers,4692168,10323318
US-Mexico Border,05/01/2010 12:00:00 AM,Pedestrians,3502885,1981310
US-Canada Border,05/01/2010 12:00:00 AM,Personal Vehicles,2401852,4829956
US-Canada Border,05/01/2010 12:00:00 AM,Trucks,469528,456486
US-Mexico Border,05/01/2010 12:00:00 AM,Trucks,406353,456486
US-Canada Border,05/01/2010 12:00:00 AM,Truck Containers Full,365603,334672
US-Mexico Border,05/01/2010 12:00:00 AM,Truck Containers Full,280548,334672
US-Canada Border,05/01/2010 12:00:00 AM,Bus Passengers,255618,292068
US-Mexico Border,05/01/2010 12:00:00 AM,Bus Passengers,205977,292068
US-Mexico Border,05/01/2010 12:00:00 AM,Truck Containers Empty,124036,113892
US-Canada Border,05/01/2010 12:00:00 AM,Rail Containers Full,101286,67695
US-Canada Border,05/01/2010 12:00:00 AM,Truck Containers Empty,97029,113892
US-Canada Border,05/01/2010 12:00:00 AM,Rail Containers Empty,49373,35572
US-Canada Border,05/01/2010 12:00:00 AM,Pedestrians,35087,1981310
US-Mexico Border,05/01/2010 12:00:00 AM,Rail Containers Empty,34042,35572
US-Mexico Border,05/01/2010 12:00:00 AM,Rail Containers Full,27044,67695
US-Canada Border,05/01/2010 12:00:00 AM,Train Passengers,24297,10476
US-Mexico Border,05/01/2010 12:00:00 AM,Buses,17477,17355
US-Canada Border,05/01/2010 12:00:00 AM,Buses,11679,17355
US-Canada Border,05/01/2010 12:00:00 AM,Trains,2435,1656
US-Mexico Border,05/01/2010 12:00:00 AM,Trains,647,1656
US-Mexico Border,05/01/2010 12:00:00 AM,Train Passengers,278,10476
US-Mexico Border,05/01/2009 12:00:00 AM,Personal Vehicle Passengers,11838435,10568725
US-Mexico Border,05/01/2009 12:00:00 AM,Personal Vehicles,5954295,4918524
US-Canada Border,05/01/2009 12:00:00 AM,Personal Vehicle Passengers,4670174,10568725
US-Mexico Border,05/01/2009 12:00:00 AM,Pedestrians,3457754,2010648
US-Canada Border,05/01/2009 12:00:00 AM,Personal Vehicles,2346355,4918524
US-Canada Border,05/01/2009 12:00:00 AM,Trucks,396308,462060
US-Mexico Border,05/01/2009 12:00:00 AM,Trucks,341601,462060
US-Canada Border,05/01/2009 12:00:00 AM,Truck Containers Full,309367,339399
US-Canada Border,05/01/2009 12:00:00 AM,Bus Passengers,277709,301332
US-Mexico Border,05/01/2009 12:00:00 AM,Truck Containers Full,217776,339399
US-Mexico Border,05/01/2009 12:00:00 AM,Bus Passengers,179414,301332
US-Mexico Border,05/01/2009 12:00:00 AM,Truck Containers Empty,121711,114248
US-Canada Border,05/01/2009 12:00:00 AM,Rail Containers Full,80160,68817
US-Canada Border,05/01/2009 12:00:00 AM,Truck Containers Empty,79869,114248
US-Canada Border,05/01/2009 12:00:00 AM,Rail Containers Empty,40331,35357
US-Canada Border,05/01/2009 12:00:00 AM,Pedestrians,37133,2010648
US-Mexico Border,05/01/2009 12:00:00 AM,Rail Containers Empty,25007,35357
US-Mexico Border,05/01/2009 12:00:00 AM,Buses,18635,17699
US-Canada Border,05/01/2009 12:00:00 AM,Train Passengers,18241,10552
US-Mexico Border,05/01/2009 12:00:00 AM,Rail Containers Full,18103,68817
US-Canada Border,05/01/2009 12:00:00 AM,Buses,11920,17699
US-Canada Border,05/01/2009 12:00:00 AM,Trains,1969,1688
US-Mexico Border,05/01/2009 12:00:00 AM,Trains,613,1688
US-Mexico Border,05/01/2009 12:00:00 AM,Train Passengers,373,10552
US-Mexico Border,05/01/2008 12:00:00 AM,Personal Vehicle Passengers,13372873,10792869
US-Mexico Border,05/01/2008 12:00:00 AM,Personal Vehicles,6697505,4989627
US-Canada Border,05/01/2008 12:00:00 AM,Personal Vehicle Passengers,5216129,10792869
US-Mexico Border,05/01/2008 12:00:00 AM,Pedestrians,3884000,2032660
US-Canada Border,05/01/2008 12:00:00 AM,Personal Vehicles,2560128,4989627
US-Canada Border,05/01/2008 12:00:00 AM,Trucks,516173,467270
US-Mexico Border,05/01/2008 12:00:00 AM,Trucks,434920,467270
US-Canada Border,05/01/2008 12:00:00 AM,Truck Containers Full,415365,344559
US-Canada Border,05/01/2008 12:00:00 AM,Bus Passengers,355655,306396
US-Mexico Border,05/01/2008 12:00:00 AM,Bus Passengers,324361,306396
US-Mexico Border,05/01/2008 12:00:00 AM,Truck Containers Full,274857,344559
US-Mexico Border,05/01/2008 12:00:00 AM,Truck Containers Empty,155709,113975
US-Canada Border,05/01/2008 12:00:00 AM,Rail Containers Full,117068,69691
US-Canada Border,05/01/2008 12:00:00 AM,Truck Containers Empty,94066,113975
US-Canada Border,05/01/2008 12:00:00 AM,Rail Containers Empty,53272,34770
US-Canada Border,05/01/2008 12:00:00 AM,Pedestrians,47220,2032660
US-Mexico Border,05/01/2008 12:00:00 AM,Rail Containers Empty,40163,34770
US-Mexico Border,05/01/2008 12:00:00 AM,Rail Containers Full,28890,69691
US-Mexico Border,05/01/2008 12:00:00 AM,Buses,23271,17911
US-Canada Border,05/01/2008 12:00:00 AM,Train Passengers,22373,10586
US-Canada Border,05/01/2008 12:00:00 AM,Buses,12775,17911
US-Canada Border,05/01/2008 12:00:00 AM,Trains,2702,1706
US-Mexico Border,05/01/2008 12:00:00 AM,Train Passengers,1278,10586
US-Mexico Border,05/01/2008 12:00:00 AM,Trains,901,1706
US-Mexico Border,05/01/2007 12:00:00 AM,Personal Vehicle Passengers,14395843,11005859
US-Mexico Border,05/01/2007 12:00:00 AM,Personal Vehicles,7140581,5042785
US-Canada Border,05/01/2007 12:00:00 AM,Personal Vehicle Passengers,5316722,11005859
US-Mexico Border,05/01/2007 12:00:00 AM,Pedestrians,4013418,2024874
US-Canada Border,05/01/2007 12:00:00 AM,Personal Vehicles,2487147,5042785
US-Canada Border,05/01/2007 12:00:00 AM,Trucks,592961,466897
US-Canada Border,05/01/2007 12:00:00 AM,Truck Containers Full,483402,344339
US-Mexico Border,05/01/2007 12:00:00 AM,Trucks,439258,466897
US-Canada Border,05/01/2007 12:00:00 AM,Bus Passengers,393720,306571
US-Mexico Border,05/01/2007 12:00:00 AM,Truck Containers Full,273262,344339
US-Mexico Border,05/01/2007 12:00:00 AM,Bus Passengers,250618,306571
US-Mexico Border,05/01/2007 12:00:00 AM,Truck Containers Empty,161952,113189
US-Canada Border,05/01/2007 12:00:00 AM,Rail Containers Full,113921,69257
US-Canada Border,05/01/2007 12:00:00 AM,Truck Containers Empty,81495,113189
US-Canada Border,05/01/2007 12:00:00 AM,Rail Containers Empty,47495,33695
US-Canada Border,05/01/2007 12:00:00 AM,Pedestrians,44870,2024874
US-Mexico Border,05/01/2007 12:00:00 AM,Rail Containers Empty,38180,33695
US-Mexico Border,05/01/2007 12:00:00 AM,Rail Containers Full,34472,69257
US-Canada Border,05/01/2007 12:00:00 AM,Train Passengers,24359,10551
US-Mexico Border,05/01/2007 12:00:00 AM,Buses,21278,18051
US-Canada Border,05/01/2007 12:00:00 AM,Buses,13803,18051
US-Canada Border,05/01/2007 12:00:00 AM,Trains,2708,1705
US-Mexico Border,05/01/2007 12:00:00 AM,Train Passengers,1778,10551
US-Mexico Border,05/01/2007 12:00:00 AM,Trains,934,1705
US-Mexico Border,05/01/2006 12:00:00 AM,Personal Vehicle Passengers,14854291,11201815
US-Mexico Border,05/01/2006 12:00:00 AM,Personal Vehicles,7519061,5078607
US-Canada Border,05/01/2006 12:00:00 AM,Personal Vehicle Passengers,5380492,11201815
US-Mexico Border,05/01/2006 12:00:00 AM,Pedestrians,3677021,2031194
US-Canada Border,05/01/2006 12:00:00 AM,Personal Vehicles,2602915,5078607
US-Canada Border,05/01/2006 12:00:00 AM,Trucks,605389,465667
US-Canada Border,05/01/2006 12:00:00 AM,Truck Containers Full,521530,342575
US-Mexico Border,05/01/2006 12:00:00 AM,Trucks,421037,465667
US-Canada Border,05/01/2006 12:00:00 AM,Bus Passengers,359999,311510
US-Mexico Border,05/01/2006 12:00:00 AM,Truck Containers Full,283704,342575
US-Mexico Border,05/01/2006 12:00:00 AM,Bus Passengers,243546,311510
US-Mexico Border,05/01/2006 12:00:00 AM,Truck Containers Empty,138372,113167
US-Canada Border,05/01/2006 12:00:00 AM,Rail Containers Full,120126,68749
US-Canada Border,05/01/2006 12:00:00 AM,Truck Containers Empty,85111,113167
US-Canada Border,05/01/2006 12:00:00 AM,Rail Containers Empty,42617,32751
US-Mexico Border,05/01/2006 12:00:00 AM,Rail Containers Empty,35118,32751
US-Mexico Border,05/01/2006 12:00:00 AM,Rail Containers Full,34672,68749
US-Canada Border,05/01/2006 12:00:00 AM,Pedestrians,28750,2031194
US-Canada Border,05/01/2006 12:00:00 AM,Train Passengers,23683,10514
US-Mexico Border,05/01/2006 12:00:00 AM,Buses,20802,18318
US-Canada Border,05/01/2006 12:00:00 AM,Buses,13299,18318
US-Canada Border,05/01/2006 12:00:00 AM,Trains,2812,1698
US-Mexico Border,05/01/2006 12:00:00 AM,Train Passengers,2072,10514
US-Mexico Border,05/01/2006 12:00:00 AM,Trains,894,1698
US-Mexico Border,05/01/2005 12:00:00 AM,Personal Vehicle Passengers,15933763,11354162
US-Mexico Border,05/01/2005 12:00:00 AM,Personal Vehicles,7820784,5079972
US-Canada Border,05/01/2005 12:00:00 AM,Personal Vehicle Passengers,5024455,11354162
US-Mexico Border,05/01/2005 12:00:00 AM,Pedestrians,3735725,2059320
US-Canada Border,05/01/2005 12:00:00 AM,Personal Vehicles,2532348,5079972
US-Canada Border,05/01/2005 12:00:00 AM,Trucks,596880,462943
US-Canada Border,05/01/2005 12:00:00 AM,Truck Containers Full,509091,336633
US-Mexico Border,05/01/2005 12:00:00 AM,Trucks,396384,462943
US-Canada Border,05/01/2005 12:00:00 AM,Bus Passengers,388037,315435
US-Mexico Border,05/01/2005 12:00:00 AM,Bus Passengers,268499,315435
US-Mexico Border,05/01/2005 12:00:00 AM,Truck Containers Full,259426,336633
US-Mexico Border,05/01/2005 12:00:00 AM,Truck Containers Empty,134434,113916
US-Canada Border,05/01/2005 12:00:00 AM,Rail Containers Full,121928,67521
US-Canada Border,05/01/2005 12:00:00 AM,Truck Containers Empty,77594,113916
US-Canada Border,05/01/2005 12:00:00 AM,Pedestrians,54966,2059320
US-Canada Border,05/01/2005 12:00:00 AM,Rail Containers Empty,42790,31933
US-Mexico Border,05/01/2005 12:00:00 AM,Rail Containers Empty,34214,31933
US-Mexico Border,05/01/2005 12:00:00 AM,Rail Containers Full,29946,67521
