Border,Date,Measure,Value,Average
US-Canada Border,12/01/2012 12:00:00 AM,Personal Vehicle Passengers,4847694,9736401
US-Mexico Border,12/01/2012 12:00:00 AM,Pedestrians,3923442,1924743
US-Canada Border,12/01/2012 12:00:00 AM,Personal Vehicles,2545279,4652094
US-Canada Border,12/01/2012 12:00:00 AM,Trucks,390438,452829
US-Mexico Border,12/01/2012 12:00:00 AM,Trucks,370217,452829
US-Canada Border,12/01/2012 12:00:00 AM,Truck Containers Full,287570,329767
US-Mexico Border,12/01/2012 12:00:00 AM,Bus Passengers,263620,278138
US-Mexico Border,12/01/2012 12:00:00 AM,Truck Containers Full,252068,329767
US-Canada Border,12/01/2012 12:00:00 AM,Bus Passengers,150095,278138
US-Canada Border,12/01/2012 12:00:00 AM,Rail Containers Full,119825,68166
US-Mexico Border,12/01/2012 12:00:00 AM,Truck Containers Empty,117512,114322
US-Canada Border,12/01/2012 12:00:00 AM,Truck Containers Empty,97013,114322
US-Canada Border,12/01/2012 12:00:00 AM,Rail Containers Empty,55917,37357
US-Mexico Border,12/01/2012 12:00:00 AM,Rail Containers Full,32588,68166
US-Mexico Border,12/01/2012 12:00:00 AM,Rail Containers Empty,30085,37357
US-Mexico Border,12/01/2012 12:00:00 AM,Buses,19805,16625
US-Canada Border,12/01/2012 12:00:00 AM,Pedestrians,16812,1924743
US-Canada Border,12/01/2012 12:00:00 AM,Train Passengers,12525,10781
US-Canada Border,12/01/2012 12:00:00 AM,Buses,6354,16625
US-Canada Border,12/01/2012 12:00:00 AM,Trains,2272,1623
US-Mexico Border,12/01/2012 12:00:00 AM,Trains,743,1623
US-Mexico Border,12/01/2012 12:00:00 AM,Train Passengers,309,10781
US-Mexico Border,12/01/2011 12:00:00 AM,Personal Vehicle Passengers,10246464,9934301
US-Mexico Border,12/01/2011 12:00:00 AM,Personal Vehicles,5352799,4707929
US-Canada Border,12/01/2011 12:00:00 AM,Personal Vehicle Passengers,4797399,9934301
US-Mexico Border,12/01/2011 12:00:00 AM,Pedestrians,3753452,1941261
US-Canada Border,12/01/2011 12:00:00 AM,Personal Vehicles,2529059,4707929
US-Canada Border,12/01/2011 12:00:00 AM,Trucks,414522,453189
US-Mexico Border,12/01/2011 12:00:00 AM,Trucks,381976,453189
US-Canada Border,12/01/2011 12:00:00 AM,Truck Containers Full,271890,331189
US-Mexico Border,12/01/2011 12:00:00 AM,Bus Passengers,246049,282893
US-Mexico Border,12/01/2011 12:00:00 AM,Truck Containers Full,241312,331189
US-Canada Border,12/01/2011 12:00:00 AM,Bus Passengers,161998,282893
US-Canada Border,12/01/2011 12:00:00 AM,Rail Containers Full,114407,67522
US-Mexico Border,12/01/2011 12:00:00 AM,Truck Containers Empty,113485,113744
